Month,wildfire
2004-01,11
2004-02,18
2004-03,18
2004-04,12
2004-05,15
2004-06,16
2004-07,21
2004-08,14
2004-09,11
2004-10,11
2004-11,14
2004-12,13
2005-01,11
2005-02,16
2005-03,13
2005-04,14
2005-05,16
2005-06,29
2005-07,30
2005-08,26
2005-09,26
2005-10,13
2005-11,12
2005-12,19
2006-01,26
2006-02,22
2006-03,19
2006-04,16
2006-05,16
2006-06,19
2006-07,23
2006-08,22
2006-09,23
2006-10,16
2006-11,13
2006-12,20
2007-01,24
2007-02,22
2007-03,21
2007-04,17
2007-05,26
2007-06,18
2007-07,20
2007-08,21
2007-09,18
2007-10,60
2007-11,16
2007-12,15
2008-01,22
2008-02,26
2008-03,22
2008-04,19
2008-05,26
2008-06,28
2008-07,26
2008-08,13
2008-09,11
2008-10,15
2008-11,16
2008-12,13
2009-01,12
2009-02,15
2009-03,13
2009-04,16
2009-05,15
2009-06,11
2009-07,14
2009-08,24
2009-09,21
2009-10,12
2009-11,11
2009-12,12
2010-01,10
2010-02,12
2010-03,12
2010-04,13
2010-05,14
2010-06,17
2010-07,16
2010-08,18
2010-09,24
2010-10,16
2010-11,17
2010-12,19
2011-01,18
2011-02,20
2011-03,19
2011-04,22
2011-05,20
2011-06,46
2011-07,21
2011-08,26
2011-09,53
2011-10,24
2011-11,33
2011-12,32
2012-01,28
2012-02,28
2012-03,30
2012-04,25
2012-05,29
2012-06,73
2012-07,34
2012-08,32
2012-09,24
2012-10,20
2012-11,18
2012-12,16
2013-01,16
2013-02,16
2013-03,17
2013-04,13
2013-05,21
2013-06,30
2013-07,27
2013-08,28
2013-09,17
2013-10,12
2013-11,13
2013-12,11
2014-01,14
2014-02,11
2014-03,12
2014-04,12
2014-05,25
2014-06,17
2014-07,21
2014-08,16
2014-09,16
2014-10,11
2014-11,9
2014-12,12
2015-01,10
2015-02,11
2015-03,10
2015-04,12
2015-05,11
2015-06,16
2015-07,22
2015-08,35
2015-09,17
2015-10,11
2015-11,9
2015-12,10
2016-01,9
2016-02,12
2016-03,12
2016-04,12
2016-05,34
2016-06,19
2016-07,18
2016-08,18
2016-09,11
2016-10,9
2016-11,33
2016-12,15
2017-01,9
2017-02,10
2017-03,15
2017-04,13
2017-05,12
2017-06,14
2017-07,19
2017-08,21
2017-09,29
2017-10,41
2017-11,10
2017-12,42
2018-01,10
2018-02,10
2018-03,13
2018-04,13
2018-05,12
2018-06,19
2018-07,34
2018-08,42
2018-09,15
2018-10,12
2018-11,56
2018-12,12
2019-01,12
2019-02,11
2019-03,11
2019-04,12
2019-05,14
2019-06,17
2019-07,17
2019-08,17
2019-09,13
2019-10,32
2019-11,16
2019-12,10
2020-01,18
2020-02,12
2020-03,9
2020-04,9
2020-05,13
2020-06,17
2020-07,13
2020-08,50
2020-09,100
2020-10,27
2020-11,11
2020-12,10
2021-01,8
2021-02,9
2021-03,10
2021-04,13
2021-05,13
2021-06,21
2021-07,42
2021-08,38
2021-09,19
2021-10,10
2021-11,9
2021-12,10
