,_id,name,classifier,dataset,loss_dict,acc_dict,acc,runtime,epochs,LR,Optim,batch_size,Gradient Accumulation,Skip Training,metric,confmatrix,train_test_split,cross_val,distributed
0,61acd142330c41cc09333f99,groundfire_densenet16105_12_2021_14_48_34,groundfire_densenet161,ground,"{'Training': [], 'Validation': [], 'Test': [0.02168424334720762]}","{'Training': [], 'Validation': [], 'Test': [0.9871244635193133]}",0.987,593.6149414,5,0.001,Adam,32,TRUE,TRUE,,,,,FALSE
1,61acf0baafdef7b38c76d05b,satfire_wide_resnet50_205_12_2021_17_02_50,satfire_wide_resnet50_2,satellite,"{'0': [0.07897103812069275, 0.07487112397226894, 0.05023971787162921, 0.02946915162560871], '1': [0.00044303854932757706, 0.0005677761483329074, 0.0011889322909038184, 0.002342588729878893, 0.004391223768620915, 0.0056952462454238385, 0.006294088262029227, 0.006426629906568281, 0.013748249279223062, 0.014823668302813368, 0.019043641629225887, 0.019060773187901364, 0.02152839147707282, 0.023260178471405733, 0.0256024358959543, 0.02672773905440012, 0.02703995245340731, 0.028116887723520015, 0.03068372947203908, 0.031441733438553644, 0.031486958174574, 0.03317051766744487, 0.03327172754978212, 0.03407187311026804, 0.034094863469821844, 0.0343560225872008, 0.035341957362534156, 0.05235466279655183, 0.05298867048615627, 0.05429815242392542, 0.05537631898253815, 0.05645018888311861, 0.05754774812886486, 0.05939191344719818, 0.0604401259392201, 0.061238371751092396, 0.062037109856341664, 0.0632830318090183, 0.06413446580003787, 0.06528822795613362, 0.06636388633763124, 0.06771802658583424, 0.06866541406390575, 0.06929998054705497], 'Test': [0.03593402545461026]}","{'0': [0.8817863397548161, 0.9141856392294221, 0.946584938704028, 0.9711033274956217], '1': [0.022922636103151862, 0.045845272206303724, 0.06876790830945559, 0.09169054441260745, 0.11461318051575932, 0.13753581661891118, 0.16045845272206305, 0.1833810888252149, 0.2034383954154728, 0.22636103151862463, 0.24641833810888253, 0.2693409742120344, 0.2922636103151863, 0.3151862464183381, 0.335243553008596, 0.35816618911174786, 0.38108882521489973, 0.4040114613180516, 0.42406876790830944, 0.4469914040114613, 0.4699140401146132, 0.49283667621776506, 0.5157593123209169, 0.5386819484240688, 0.5616045845272206, 0.5845272206303725, 0.6074498567335244, 0.6275071633237822, 0.6504297994269341, 0.673352435530086, 0.6962750716332379, 0.7191977077363897, 0.7421203438395415, 0.7650429799426934, 0.7879656160458453, 0.8108882521489972, 0.833810888252149, 0.8567335243553008, 0.8796561604584527, 0.9025787965616046, 0.9255014326647565, 0.9484240687679083, 0.9713467048710601, 0.9856733524355301], 'Test': [0.9856733524355301]}",0.985,93.60712647,5,0.001,Adam,32,TRUE,FALSE,,,,,FALSE
2,61acf115afdef7b38c76d05c,satfire_wide_resnet50_205_12_2021_17_04_21,satfire_wide_resnet50_2,satellite,"{'0': [], '1': [0.01834466190939305, 0.03717569908644887, 0.055799215092699986, 0.07361402894159443, 0.09202186835871043, 0.10963998483040271, 0.12842150335667127, 0.14718319830033705, 0.165312242371305, 0.1837025918386727, 0.20155290068049828, 0.2208033127224548, 0.23852121522570066, 0.2566763186523088, 0.27512654329097713, 0.29372315147203154, 0.31161412536927147, 0.32995101715568825, 0.34799765037602204, 0.3664490541277779, 0.3851030590199468, 0.4035943422071572, 0.42244004520099276, 0.44112343774484014, 0.45993210046544114, 0.4778319798772861, 0.49523883152827836, 0.510898912533648, 0.5267735429342975, 0.5424627301344557, 0.5582213702379462, 0.5739813930325658, 0.5897274058322852, 0.605270501877312, 0.6210352342928036, 0.636872924159796, 0.652706837585799, 0.6684037593852483, 0.6842146971847403, 0.6999334045672485, 0.7156856121511377, 0.7313695199851662, 0.7471616302315348, 0.7570154402180865], 'Test': [0.4036506589897041]}","{'0': [], '1': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0028653295128939827, 0.011461318051575931, 0.017191977077363897, 0.034383954154727794, 0.054441260744985676, 0.06876790830945559, 0.08882521489971347, 0.11174785100286533, 0.12893982808022922, 0.13753581661891118, 0.15759312320916904, 0.18051575931232092, 0.1977077363896848, 0.22063037249283668, 0.23782234957020057, 0.25787965616045844, 0.2693409742120344, 0.2808022922636103], 'Test': [0.2808022922636103]}",0.28,90.98019695,5,0.001,Adam,32,TRUE,FALSE,,,,,FALSE
3,61acf118afdef7b38c76d05d,satfire_densenet16105_12_2021_17_04_24,satfire_densenet161,satellite,"{'0': [], '1': [0.022025067348534877, 0.04481348813775617, 0.06772130403272744, 0.09129493899195106, 0.11713129059974649, 0.1394904705036677, 0.1605571634789934, 0.1810696555413626, 0.2025476362780377, 0.22402857504464835, 0.24310040952141443, 0.26528257763488244, 0.28795577051987964, 0.3061181863604439, 0.32732535364976245, 0.3503274999580274, 0.3725105793906488, 0.39795213715736366, 0.4204406724618294, 0.4406173413667433, 0.4635083723204867, 0.4844044505012753, 0.5070707285643307, 0.5280352608863809, 0.5482591202744098, 0.5714206804860287, 0.588378516855759, 0.6033031551065964, 0.6176657417100617, 0.6350319761259849, 0.6496332969228312, 0.6650166087984014, 0.6806575234093434, 0.6981396798076466, 0.7151493315710379, 0.7283315207691794, 0.740254874898916, 0.7541957748653554, 0.7689271506060843, 0.7828588950258272, 0.7998257134227151, 0.8147007510450303, 0.8281772676374988, 0.8366089355638171], 'Test': [0.4698151237534869]}","{'0': [], '1': [0.0, 0.0028653295128939827, 0.0057306590257879654, 0.008595988538681949, 0.008595988538681949, 0.008595988538681949, 0.011461318051575931, 0.014326647564469915, 0.02005730659025788, 0.02005730659025788, 0.02865329512893983, 0.02865329512893983, 0.034383954154727794, 0.04297994269340974, 0.04297994269340974, 0.04297994269340974, 0.045845272206303724, 0.04871060171919771, 0.05157593123209169, 0.05730659025787966, 0.06017191977077364, 0.06303724928366762, 0.06303724928366762, 0.0659025787965616, 0.06876790830945559, 0.07163323782234957, 0.0830945558739255, 0.09742120343839542, 0.11174785100286533, 0.12320916905444126, 0.13753581661891118, 0.1518624641833811, 0.16332378223495703, 0.17478510028653296, 0.18911174785100288, 0.20916905444126074, 0.23209169054441262, 0.24641833810888253, 0.2636103151862464, 0.27793696275071633, 0.2922636103151863, 0.3037249283667622, 0.3209169054441261, 0.332378223495702], 'Test': [0.332378223495702]}",0.332,3.017498493,5,0.001,Adam,32,TRUE,FALSE,,,,,FALSE
4,61acf1f0afdef7b38c76d05e,satfire_wide_resnet50_205_12_2021_17_08_00,satfire_wide_resnet50_2,satellite,"{'0': [0.08902002214706925, 0.056798144761512084, 0.04885821017206707, 0.03468612292308471], '1': [0.0006349047907443989, 0.0006349068401872836, 0.0006366408495747944, 0.0010232103597914936, 0.005889552508121439, 0.005933582984386884, 0.0059573818920482195, 0.006115136386720738, 0.006199509077698283, 0.0062078365065048454, 0.014913960082628103, 0.015173898969961904, 0.018547254070314892, 0.0343654086430723, 0.034422399745859984, 0.03447527000510397, 0.04061772095531117, 0.04061951381914845, 0.0406774612701357, 0.040677937049298785, 0.04075127346102529, 0.04084533215228507, 0.04101905203499398, 0.041051697743909994, 0.041099855996601806, 0.041754821507625973, 0.04262073490147184, 0.05024677517706744, 0.05235281700335386, 0.0543053080422037, 0.05688006098371785, 0.05949574472513708, 0.06219093850088246, 0.06481749556411909, 0.0677360163303254, 0.07050694233311203, 0.07373238773891362, 0.07668101209568352, 0.07935639748886449, 0.08233621744794208, 0.08509520612622663, 0.08828453897349395, 0.09173302632634063, 0.09376063352101434], 'Test': [0.04209949484052104]}","{'0': [0.8712784588441331, 0.936077057793345, 0.9395796847635727, 0.9719789842381786], '1': [0.022922636103151862, 0.045845272206303724, 0.06876790830945559, 0.09169054441260745, 0.11174785100286533, 0.1346704871060172, 0.15759312320916904, 0.18051575931232092, 0.2034383954154728, 0.22636103151862463, 0.24641833810888253, 0.2693409742120344, 0.28939828080229224, 0.30659025787965616, 0.32951289398280803, 0.3524355300859599, 0.37249283667621774, 0.3954154727793696, 0.4183381088825215, 0.44126074498567336, 0.46418338108882523, 0.4871060171919771, 0.5100286532951289, 0.5329512893982808, 0.5558739255014327, 0.5787965616045845, 0.6017191977077364, 0.6217765042979942, 0.6446991404011462, 0.667621776504298, 0.6905444126074498, 0.7134670487106017, 0.7363896848137536, 0.7593123209169055, 0.7822349570200573, 0.8051575931232091, 0.828080229226361, 0.8510028653295129, 0.8739255014326648, 0.8968481375358166, 0.9197707736389685, 0.9426934097421203, 0.9656160458452722, 0.9799426934097422], 'Test': [0.9799426934097422]}",0.979,86.60119081,5,0.001,Adam,32,TRUE,FALSE,,,,,FALSE
5,61acf233afdef7b38c76d05f,satfire_densenet16105_12_2021_17_09_07,satfire_densenet161,satellite,"{'0': [0.06970260262606753, 0.027522716170499808], '1': [0.003403214124007348, 0.003424761636732386, 0.0035905951439245552, 0.004999264504995336, 0.007319316381380432, 0.007985656345823518, 0.008768523049228597, 0.008793666116882617, 0.013549403563664858, 0.013848667832246227, 0.02232551266356534, 0.02242743628590573, 0.03104955112871135, 0.04088309263266132, 0.04135099507169131, 0.04153023791608846, 0.04945538830369668, 0.05208790429432831, 0.052558737095808314, 0.05259104966877141, 0.05282626362293318, 0.054066540725411776, 0.05407709802733067, 0.05492193776350949, 0.05672525989564194, 0.056853931209067135, 0.0636370538701877, 0.06571691815626612, 0.0673125104159437, 0.06960732220167716, 0.07185885042651292, 0.07377476675734777, 0.07578547069813554, 0.07899709636569664, 0.08074895663314997, 0.08257649481739518, 0.08423907159664869, 0.08722084979886953, 0.08931894849500163, 0.09122006084241592, 0.09295963008559835, 0.09661797190053031, 0.09827159807742453, 0.09944573977033483], 'Test': [0.05183462081620785]}","{'0': [0.8975481611208407, 0.9658493870402802], '1': [0.022922636103151862, 0.045845272206303724, 0.06876790830945559, 0.09169054441260745, 0.11461318051575932, 0.13753581661891118, 0.16045845272206305, 0.1833810888252149, 0.2034383954154728, 0.22636103151862463, 0.24641833810888253, 0.2693409742120344, 0.28653295128939826, 0.3037249283667622, 0.32664756446991405, 0.3495702005730659, 0.36962750716332377, 0.38968481375358166, 0.41260744985673353, 0.4355300859598854, 0.4584527220630373, 0.4813753581661891, 0.504297994269341, 0.5272206303724928, 0.5501432664756447, 0.5730659025787965, 0.5931232091690545, 0.6160458452722063, 0.6389684813753582, 0.66189111747851, 0.6848137535816619, 0.7077363896848138, 0.7306590257879656, 0.7535816618911175, 0.7765042979942693, 0.7994269340974212, 0.8223495702005731, 0.8452722063037249, 0.8681948424068768, 0.8911174785100286, 0.9140401146131805, 0.9369627507163324, 0.9598853868194842, 0.9742120343839542], 'Test': [0.9742120343839542]}",0.974,66.68865418,5,0.001,Adam,32,TRUE,FALSE,,,,,FALSE
6,61ad1d1b3daa9a620876a61c,xgb_sat_dist_05_12_2021_20_12_11,xgboost,satellite,,,0.96,335.2161617,0,,,,,,"              precision    recall  f1-score   support

         0.0       0.96      0.93      0.95        28
         1.0       0.96      0.98      0.97        55

    accuracy                           0.96        83
   macro avg       0.96      0.96      0.96        83
weighted avg       0.96      0.96      0.96        83
","[[26, 2], [1, 54]]",0.25,0,TRUE
7,61ad1ec93daa9a620876a61d,xgb_sat_dist_05_12_2021_20_19_21,xgboost,satellite,,,0.97,335.193058,0,,,,,,"              precision    recall  f1-score   support

         0.0       0.93      0.96      0.95        27
         1.0       0.98      0.97      0.98        63

    accuracy                           0.97        90
   macro avg       0.96      0.97      0.96        90
weighted avg       0.97      0.97      0.97        90
","[[26, 1], [2, 61]]",0.25,0,TRUE
8,61ad614edca99da6e691a0ab,xgb_ground_05_12_2021_02_58_54,xgboost,ground,,,0.81,918.0609667,0,,,,,,"              precision    recall  f1-score   support

         0.0       0.82      0.92      0.87       666
         1.0       0.80      0.59      0.68       335

    accuracy                           0.81      1001
   macro avg       0.81      0.76      0.78      1001
weighted avg       0.81      0.81      0.81      1001
","[[616, 50], [136, 199]]",0.25,2,FALSE
9,61ad614edca99da6e691a0ac,xgb_satellite_05_12_2021_03_13_17,xgboost,satellite,,,0.78,411.5433342,0,,,,,,"              precision    recall  f1-score   support

         0.0       0.79      0.73      0.76       132
         1.0       0.78      0.83      0.81       154

    accuracy                           0.78       286
   macro avg       0.78      0.78      0.78       286
weighted avg       0.78      0.78      0.78       286
","[[96, 36], [26, 128]]",0.25,2,FALSE
